match_id,season,team1,team2,team1_wins_h2h,team2_wins_h2h,team1_win_pct_h2h,team2_win_pct_h2h,team1_recent_wins,team2_recent_wins,team1_win_pct,team2_win_pct,winner
1136571,2018,Rajasthan Royals,Royal Challengers Bangalore,4,5,0.4,0.5,12,11,0.48,0.44,Rajasthan Royals
1136572,2018,Kings XI Punjab,Chennai Super Kings,6,4,0.6,0.4,11,14,0.44,0.56,Kings XI Punjab
1136573,2018,Kolkata Knight Riders,Delhi Daredevils,7,3,0.7,0.3,12,10,0.48,0.4,Kolkata Knight Riders
1136574,2018,Mumbai Indians,Royal Challengers Bangalore,7,3,0.7,0.3,14,11,0.56,0.44,Mumbai Indians
1136575,2018,Rajasthan Royals,Kolkata Knight Riders,5,5,0.5,0.5,12,13,0.48,0.52,Kolkata Knight Riders
1136576,2018,Kings XI Punjab,Sunrisers Hyderabad,2,8,0.2,0.8,12,16,0.48,0.64,Kings XI Punjab
1136577,2018,Chennai Super Kings,Rajasthan Royals,8,2,0.8,0.2,14,11,0.56,0.44,Chennai Super Kings
1136578,2018,Kolkata Knight Riders,Kings XI Punjab,8,2,0.8,0.2,13,12,0.52,0.48,Kings XI Punjab
1136579,2018,Delhi Daredevils,Royal Challengers Bangalore,1,8,0.1,0.8,9,10,0.36,0.4,Royal Challengers Bangalore
1136580,2018,Chennai Super Kings,Sunrisers Hyderabad,4,2,0.6666666666666666,0.3333333333333333,15,15,0.6,0.6,Chennai Super Kings
1136581,2018,Mumbai Indians,Rajasthan Royals,7,3,0.7,0.3,15,11,0.6,0.44,Rajasthan Royals
1136582,2018,Kings XI Punjab,Delhi Daredevils,6,4,0.6,0.4,13,9,0.52,0.36,Kings XI Punjab
1136583,2018,Sunrisers Hyderabad,Mumbai Indians,5,5,0.5,0.5,15,14,0.6,0.56,Sunrisers Hyderabad
1136584,2018,Royal Challengers Bangalore,Chennai Super Kings,2,8,0.2,0.8,10,16,0.4,0.64,Chennai Super Kings
1136585,2018,Sunrisers Hyderabad,Kings XI Punjab,7,3,0.7,0.3,15,13,0.6,0.52,Sunrisers Hyderabad
1136586,2018,Delhi Daredevils,Kolkata Knight Riders,3,7,0.3,0.7,9,13,0.36,0.52,Delhi Daredevils
1136587,2018,Chennai Super Kings,Mumbai Indians,6,4,0.6,0.4,16,14,0.64,0.56,Mumbai Indians
1136588,2018,Sunrisers Hyderabad,Rajasthan Royals,4,4,0.5,0.5,16,11,0.64,0.44,Sunrisers Hyderabad
1136589,2018,Royal Challengers Bangalore,Kolkata Knight Riders,3,7,0.3,0.7,10,13,0.4,0.52,Kolkata Knight Riders
1136590,2018,Chennai Super Kings,Delhi Daredevils,8,2,0.8,0.2,15,9,0.6,0.36,Chennai Super Kings
1136591,2018,Royal Challengers Bangalore,Mumbai Indians,2,8,0.2,0.8,9,14,0.36,0.56,Royal Challengers Bangalore
1136592,2018,Delhi Daredevils,Rajasthan Royals,2,8,0.2,0.8,9,11,0.36,0.44,Delhi Daredevils
1136593,2018,Chennai Super Kings,Kolkata Knight Riders,6,4,0.6,0.4,16,13,0.64,0.52,Kolkata Knight Riders
1136594,2018,Kings XI Punjab,Mumbai Indians,4,6,0.4,0.6,13,14,0.52,0.56,Mumbai Indians
1136595,2018,Royal Challengers Bangalore,Chennai Super Kings,2,8,0.2,0.8,9,15,0.36,0.6,Chennai Super Kings
1136596,2018,Delhi Daredevils,Sunrisers Hyderabad,4,6,0.4,0.6,10,17,0.4,0.68,Sunrisers Hyderabad
1136597,2018,Mumbai Indians,Kolkata Knight Riders,7,3,0.7,0.3,15,14,0.6,0.56,Mumbai Indians
1136598,2018,Rajasthan Royals,Kings XI Punjab,6,4,0.6,0.4,10,12,0.4,0.48,Kings XI Punjab
1136599,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,6,4,0.6,0.4,17,8,0.68,0.32,Sunrisers Hyderabad
1136600,2018,Rajasthan Royals,Kings XI Punjab,5,5,0.5,0.5,10,13,0.4,0.52,Rajasthan Royals
1136601,2018,Mumbai Indians,Kolkata Knight Riders,7,3,0.7,0.3,15,13,0.6,0.52,Mumbai Indians
1136602,2018,Delhi Daredevils,Sunrisers Hyderabad,4,6,0.4,0.6,9,17,0.36,0.68,Sunrisers Hyderabad
