match_id,match_date,format,team1,team2,team1_wins_h2h,team2_wins_h2h,team1_win_pct_h2h,team2_win_pct_h2h,team1_recent_wins,team2_recent_wins,team1_win_pct,team2_win_pct,venue,venue_country,winner
1305504,2022-04-04,T20I,Nepal,P.N.G.,2,1,0.6666666666666666,0.3333333333333333,17,14,0.68,0.56,Tribhuvan University International Cricket Ground,Nepal,Nepal
1288316,2022-04-05,T20I,Pakistan,Australia,5,4,0.5,0.4,17,13,0.68,0.52,Gaddafi Stadium,Pakistan,Australia
1309701,2022-04-08,T20I,Uganda,Namibia,0,4,0.0,1.0,17,16,0.68,0.64,United Cricket Club Ground,Namibia,Namibia
1309702,2022-04-09,T20I,Namibia,Uganda,5,0,1.0,0.0,16,17,0.64,0.68,United Cricket Club Ground,Namibia,Uganda
1309703,2022-04-10,T20I,Namibia,Uganda,5,1,0.8333333333333334,0.16666666666666666,15,18,0.6,0.72,United Cricket Club Ground,Namibia,Namibia
1310156,2022-04-13,T20I,Bahamas,Cayman Is,0,0,0.0,0.0,2,0,0.3333333333333333,0.0,Jimmy Powell Oval,Cayman Islands,Cayman Is
1310157,2022-04-14,T20I,Cayman Is,Bahamas,1,0,1.0,0.0,1,2,0.14285714285714285,0.2857142857142857,Jimmy Powell Oval,Cayman Islands,Cayman Is
1310159,2022-04-16,T20I,Cayman Is,Bahamas,2,0,1.0,0.0,2,2,0.25,0.25,Smith Road Oval,Cayman Islands,Cayman Is
1310158,2022-04-16,T20I,Bahamas,Cayman Is,0,2,0.0,1.0,2,2,0.25,0.25,Smith Road Oval,Cayman Islands,Cayman Is
1310160,2022-04-17,T20I,Cayman Is,Bahamas,4,0,1.0,0.0,4,2,0.4,0.2,Smith Road Oval,Cayman Islands,Cayman Is
1310161,2022-04-29,T20I,Norway,Guernsey,0,1,0.0,1.0,2,3,0.2,0.3,Desert Springs Cricket Ground,Spain,Norway
1310164,2022-04-30,T20I,Guernsey,Spain,0,0,0.0,0.0,3,11,0.2727272727272727,0.7857142857142857,Desert Springs Cricket Ground,Spain,Spain
1310163,2022-04-30,T20I,Norway,Guernsey,1,1,0.5,0.5,3,3,0.2727272727272727,0.2727272727272727,Desert Springs Cricket Ground,Spain,Guernsey
1310162,2022-04-30,T20I,Spain,Norway,0,0,0.0,0.0,11,3,0.7857142857142857,0.2727272727272727,Desert Springs Cricket Ground,Spain,Spain
1310166,2022-05-01,T20I,Spain,Norway,1,0,1.0,0.0,13,3,0.8125,0.23076923076923078,Desert Springs Cricket Ground,Spain,Spain
1310165,2022-05-01,T20I,Spain,Guernsey,1,0,1.0,0.0,13,4,0.8125,0.3076923076923077,Desert Springs Cricket Ground,Spain,Guernsey
1310167,2022-05-07,T20I,Denmark,Finland,2,0,1.0,0.0,6,3,0.3333333333333333,0.3333333333333333,Svanholm Park,Denmark,Finland
1310168,2022-05-07,T20I,Denmark,Finland,2,0,1.0,0.0,6,3,0.3333333333333333,0.3333333333333333,Svanholm Park,Denmark,Denmark
1310169,2022-05-08,T20I,Denmark,Finland,3,1,0.75,0.25,7,4,0.35,0.36363636363636365,Svanholm Park,Denmark,Denmark
1310171,2022-05-10,T20I,Malta,Hungary,0,1,0.0,1.0,10,2,0.4,0.5,Marsa Sports Club,Malta,Malta
