match_id,match_date,format,team1,team2,team1_wins_h2h,team2_wins_h2h,team1_win_pct_h2h,team2_win_pct_h2h,team1_recent_wins,team2_recent_wins,team1_win_pct,team2_win_pct,venue,venue_country,winner
215449,2005-08-09,ODI,Sri Lanka,India,4,4,0.4,0.4,19,10,0.76,0.4,R Premadasa Stadium,Sri Lanka,Sri Lanka
216271,2005-08-17,ODI,Africa XI,Asia XI,0,0,0.0,0.0,0,0,0.0,0.0,SuperSport Park,South Africa,Africa XI
216591,2005-08-20,ODI,Asia XI,Africa XI,0,1,0.0,1.0,0,1,0.0,1.0,Kingsmead,South Africa,Asia XI
216669,2005-08-21,ODI,Africa XI,Asia XI,1,1,0.5,0.5,1,1,0.5,0.3333333333333333,Kingsmead,South Africa,
216929,2005-08-24,ODI,New Zealand,Zimbabwe,5,4,0.5,0.4,15,2,0.6,0.08,Queens Sports Club,Zimbabwe,New Zealand
217116,2005-08-26,ODI,New Zealand,India,5,4,0.5,0.4,16,9,0.64,0.36,Queens Sports Club,Zimbabwe,New Zealand
217481,2005-08-29,ODI,India,Zimbabwe,9,1,0.9,0.1,9,2,0.36,0.08,Harare Sports Club,Zimbabwe,India
217647,2005-08-31,ODI,Sri Lanka,Bangladesh,10,0,1.0,0.0,19,6,0.76,0.24,Sinhalese Sports Club Ground,Sri Lanka,Sri Lanka
217648,2005-08-31,ODI,New Zealand,Zimbabwe,5,4,0.5,0.4,16,2,0.64,0.08,Harare Sports Club,Zimbabwe,New Zealand
217810,2005-09-02,ODI,Sri Lanka,Bangladesh,10,0,1.0,0.0,19,6,0.76,0.24,R Premadasa Stadium,Sri Lanka,Sri Lanka
217811,2005-09-02,ODI,New Zealand,India,5,4,0.5,0.4,16,9,0.64,0.36,Harare Sports Club,Zimbabwe,India
217978,2005-09-04,ODI,Bangladesh,Sri Lanka,0,10,0.0,1.0,5,19,0.2,0.76,R Premadasa Stadium,Sri Lanka,Sri Lanka
217979,2005-09-04,ODI,Zimbabwe,India,1,9,0.1,0.9,2,10,0.08,0.4,Harare Sports Club,Zimbabwe,India
218250,2005-09-06,ODI,India,New Zealand,5,4,0.5,0.4,11,15,0.44,0.6,Harare Sports Club,Zimbabwe,New Zealand
220935,2005-10-05,ODI,Australia,ICC World XI,0,0,0.0,0.0,17,1,0.68,1.0,Docklands Stadium,Australia,Australia
221083,2005-10-07,ODI,Australia,ICC World XI,1,0,1.0,0.0,18,1,0.72,0.5,Docklands Stadium,Australia,Australia
221337,2005-10-09,ODI,Australia,ICC World XI,2,0,1.0,0.0,18,1,0.72,0.3333333333333333,Docklands Stadium,Australia,Australia
222857,2005-10-23,ODI,New Zealand,South Africa,6,4,0.6,0.4,15,13,0.6,0.52,Goodyear Park,South Africa,South Africa
223018,2005-10-25,ODI,India,Sri Lanka,3,5,0.3,0.5,11,19,0.44,0.76,Vidarbha Cricket Association Ground,India,India
223334,2005-10-28,ODI,Sri Lanka,India,5,3,0.5,0.3,18,12,0.72,0.48,Punjab Cricket Association Stadium,India,India
223335,2005-10-28,ODI,South Africa,New Zealand,4,6,0.4,0.6,14,14,0.56,0.56,Newlands,South Africa,South Africa
223542,2005-10-30,ODI,New Zealand,South Africa,6,4,0.6,0.4,14,15,0.56,0.6,St George's Park,South Africa,South Africa
223634,2005-10-31,ODI,Sri Lanka,India,5,4,0.5,0.4,17,13,0.68,0.52,Sawai Mansingh Stadium,India,India
223902,2005-11-03,ODI,Sri Lanka,India,5,5,0.5,0.5,16,13,0.64,0.52,Nehru Stadium,India,India
224044,2005-11-04,ODI,South Africa,New Zealand,4,6,0.4,0.6,16,13,0.64,0.52,Kingsmead,South Africa,
224231,2005-11-06,ODI,India,Sri Lanka,5,5,0.5,0.5,13,16,0.52,0.64,Sardar Patel Stadium,India,Sri Lanka
224227,2005-11-06,ODI,New Zealand,South Africa,5,4,0.5,0.4,12,16,0.48,0.64,SuperSport Park,South Africa,South Africa
224556,2005-11-09,ODI,Sri Lanka,India,5,5,0.5,0.5,16,13,0.64,0.52,Madhavrao Scindia Cricket Ground,India,India
225437,2005-11-12,ODI,Sri Lanka,India,5,5,0.5,0.5,15,14,0.6,0.56,Indian Petrochemicals Corporation Limited Sports Complex Ground,India,India
225959,2005-11-16,ODI,India,South Africa,4,5,0.4,0.5,14,17,0.56,0.68,Rajiv Gandhi International Stadium,India,South Africa
226315,2005-11-19,ODI,South Africa,India,5,4,0.5,0.4,18,14,0.72,0.56,M Chinnaswamy Stadium,India,India
